MPR,ReadDate,H0030,H0100,H0130,H0200,H0230,H0300,H0330,H0400,H0430,H0500,H0530,H0600,H0630,H0700,H0730,H0800,H0830,H0900,H0930,H01000,H01030,H01100,H01130,H01200,H01230,H01300,H01330,H01400,H01430,H01500,H01530,H01600,H01630,H01700,H01730,H01800,H01830,H01900,H01930,H02000,H02030,H02100,H02130,H02200,H02230,H02300,H02330,H02400
19283746,15/04/2023,3.6844,1.1168,2.2325,2.5676,1.6746,2.5676,1.5633,2.1211,2.5676,2.4563,1.6746,3.1254,1.4508,2.7914,1.8973,1.8973,3.0141,1.3395,3.0141,1.6746,1.5633,3.1254,1.3395,2.9027,2.3449,2.1211,1.6746,1.8973,1.8973,2.3449,2.0098,1.1168,3.2379,1.0043,2.7914,1.4508,1.786,1.786,2.2325,1.2281,1.6746,2.4563,1.3395,2.7914,1.1168,2.0098,2.0098,1.8973
19283746,28/07/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3807,0.0,1.3599,0.4533,1.5871,1.473,0.4533,0.2272,0.2272,0.2272,0.1131,0.2272,0.2272,0.2272,0.1131,0.2272,0.2272,0.2272,0.1131,0.2272,0.2272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,30/05/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0911,0.6822,1.4767,0.0,1.7044,1.1367,0.0,1.5911,0.3411,1.4767,0.0,1.25,0.9089,0.5678,1.25,0.4544,1.25,0.4544,0.6822,0.9089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,15/06/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0251,0.0,1.012,0.5621,0.6754,1.012,0.0,1.012,0.8998,0.1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,18/03/2023,1.6618,2.2154,2.2154,1.6618,2.7701,1.7723,1.6618,3.1016,1.4398,2.548,2.1103,1.6661,2.7772,1.8877,1.6661,2.6653,1.7769,2.5545,2.333,1.5553,2.5545,2.1103,2.1103,2.5545,1.4434,2.1103,2.333,1.8877,2.1103,1.9995,1.9995,1.9995,1.5553,1.9995,2.4438,1.5553,1.9995,2.5545,1.5553,2.9988,1.6661,1.5553,2.888,1.4434,1.7769,2.5545,1.6661,2.2211
19283746,31/07/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6068,0.0,1.3599,0.3403,1.7002,1.473,2.834,3.1732,2.3807,2.1535,3.0601,2.1535,2.834,2.3807,2.2665,2.834,2.7199,2.9471,0.4533,0.4533,0.3403,0.1131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,13/01/2023,2.7985,2.7985,3.581,2.6858,3.2461,3.0218,2.6858,3.581,3.0218,2.7985,3.5719,2.9027,2.9027,3.5719,2.7914,3.1254,3.3492,2.9027,3.0141,3.7957,2.7914,3.1254,2.9027,2.7914,3.6844,2.7914,2.7914,3.2379,2.679,2.9027,3.4606,2.3449,4.1309,2.7914,2.7914,3.2379,2.9027,2.7914,3.6844,3.4606,3.0141,3.1254,2.7914,2.9027,3.4606,2.7914,3.7957,2.7914
19283746,23/07/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8132,0.2272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,17/07/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9667,0.9066,1.1338,1.1338,1.473,1.5871,0.4533,1.1338,0.7936,0.5664,1.473,1.3599,0.4533,0.7936,1.3599,0.5664,1.2469,0.7936,0.4533,1.3599,0.3403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,21/06/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2836,0.2289,0.7995,0.0,1.713,0.1139,0.7995,1.0273,0.5706,0.0,0.3428,0.0,0.2289,0.1139,0.2289,0.0,0.0,0.0,0.0,0.2289,0.1139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
